,x (mm),alfa (1/m),beta (T/A)
92,0.092,0.4540707855924681,0.020563380281690122
93,0.093,0.40202240159205027,0.020160965794768594
94,0.094,0.3604459910057035,0.019661479879275634
95,0.095,0.3209981200770037,0.019151208249496964
96,0.096,0.28159846632115454,0.018470742454728344
97,0.097,0.24478849579522216,0.01777136619718307
98,0.098,0.21575971792595378,0.016897295774647852
99,0.099,0.1855369888550605,0.016003814889335978
100,0.1,0.1557606517597096,0.015038107645875213
101,0.101,0.14011665014956504,0.014064375251509015
102,0.10200000000000001,0.12222618379855182,0.012937561368209212
103,0.10300000000000001,0.10469374434595752,0.011793738430583458
104,0.10400000000000001,0.09343091201636473,0.010853157947686081
105,0.105,0.08589984514842823,0.009935159959758527
106,0.106,0.07949585956454454,0.00897997585513076
107,0.107,0.0715685985373267,0.008020659959758527
108,0.108,0.05973661032119233,0.0070140171026156686
109,0.109,0.05451384073631272,0.006002115694164964
110,0.11,0.04665213794058953,0.005172342052313862
111,0.111,0.0393879120635924,0.004362804828973822
112,0.112,0.035135285259999975,0.0036130080482897195
113,0.113,0.030697013922604845,0.0028698490945673854
114,0.114,0.027272291009008683,0
115,0.115,0.02404277004326292,0
116,0.116,0.02043609512752987,0
117,0.117,0.017871063691619886,0
118,0.11800000000000001,0.014995296261517677,0
119,0.11900000000000001,0.013593012401836873,0
120,0.12,0.012585170206577427,0
121,0.121,0.011074443201333497,0
122,0.122,0.009542032588532857,0
123,0.123,0.00785151851132708,0
124,0.124,0.006633390971166192,0
125,0.125,0.006058263190227287,0
126,0.126,0.00557010504762778,0
127,0.127,0.005081994967655623,0
128,0.128,0.00454634347003685,0
129,0.129,0.004008201023713802,0
130,0.13,0.0034860802669413643,0
131,0.131,0.0030491656656316643,0
132,0.132,0.002636603758222221,0
133,0.133,0.002251647840944688,0
134,0.134,0.002051476912655517,0
135,0.135,0.0018548432460259155,0
136,0.136,0.0016589774584866907,0
137,0.137,0.0014695273358051716,0
138,0.138,0.0013198801456512578,0
139,0.139,0.0011763291612937527,0
140,0.14,0.001032785639999998,0
141,0.14100000000000001,0.0008892531704782645,0
142,0.14200000000000002,0.0007743365143760292,0
143,0.14300000000000002,0.0006935510933640004,0
144,0.14400000000000002,0.0006127676448311876,0
145,0.145,0.0005319870662280959,0
146,0.146,0.00045256825627096195,0
147,0.147,0.000405619363999529,0
148,0.148,0.0003606153856001037,0
149,0.149,0.0003156127040536611,0
150,0.15,0.00027061196853580063,0
151,0.151,0.00023511301876097103,0
152,0.152,0.00021014076535496215,0
153,0.153,0.00018516923847017089,0
154,0.154,0.00016019876895602194,0
155,0.155,0.00013542805557040203,0
156,0.156,0.00012142370079066861,0
157,0.157,0.00010783772800156375,0
158,0.158,9.425337066333476e-05,0
159,0.159,8.067144359729742e-05,0
160,0.16,7.01110157340406e-05,0
161,0.161,6.289238521224756e-05,0
162,0.162,5.5675102570845485e-05,0
163,0.163,4.8459773866177544e-05,0
164,0.164,4.1360092040951504e-05,0
165,0.165,3.7365453817634146e-05,0
166,0.166,3.36082074490987e-05,0
